原文本,英文,日文
快速开始,Quick Start,クイックスタート
安装 SwanLab 并在几分钟内开始跟踪你的人工智能实验。,Install SwanLab and start tracking your AI experiments in minutes.,SwanLabをインストールして、数分でAI実験の追跡を開始しましょう。
,,
安装SwanLab,Install SwanLab,SwanLabをインストールする
使用 pip 在Python3环境的计算机上安装swanlab库。,Install the swanlab library on a computer with a Python 3 environment using pip.,pipを使用して、Python 3環境のコンピュータにswanlabライブラリをインストールします。
打开命令行，输入：,Open the command line and enter:,コマンドラインを開き、次のように入力します。
按下回车，等待片刻完成安装。,Press Enter and wait for the installation to complete.,Enterキーを押して、インストールが完了するまでしばらく待ちます。
如果遇到安装速度慢的问题，可以指定清华源安装：,"If you encounter slow installation speed, you can specify Tsinghua source to install:",インストール速度が遅い場合は、Tsinghuaソースを指定してインストールすることができます。
,,
登录账号,Log in,アカウントにログインする
如果你还没有SwanLab账号，请在 官网 免费注册。,"If you don't have a SwanLab account yet, please register for free on the official website.",まだSwanLabアカウントをお持ちでない場合は、公式サイトで無料で登録してください
打开命令行，输入：,Open the command line and enter:,コマンドラインを開き、次のように入力します。
当你看到如下提示时：,When you see the following prompt:,次のようなプロンプトが表示されたら、
在用户设置页面复制您的 API Key，粘贴后按下回车，即可完成登录。之后无需再次登录。,"Copy your API Key from the user settings page, paste it and press Enter to complete the login. You don't need to log in again after that.",ユーザー設定ページでAPIキーをコピーし、貼り付けてEnterキーを押すと、ログインが完了します。その後は再度ログインする必要はありません。
如果你的计算机不太支持swanlab login的登录方式，也可以使用python脚本登录：,"If your computer does not support the swanlab login method, you can also log in using a Python script:",お使いのコンピュータがswanlab loginのログイン方法をサポートしていない場合は、Pythonスクリプトを使用してログインすることもできます。
"import swanlab
swanlab.login(api_key=""你的API Key"")","import swanlab
swanlab.login(api_key=""your API Key"")","import swanlab
swanlab.login(api_key=""your API Key"")"
,,
开启一个实验并跟踪超参数,Start an experiment and track hyperparameters,実験を開始し、ハイパーパラメータを追跡する
在Python脚本中，我们用swanlab.init创建一个SwanLab实验，并向config参数传递将一个包含超参数键值对的字典：,"In the Python script, we use swanlab.init to create a SwanLab experiment and pass a dictionary containing hyperparameter key-value pairs to the config parameter:",Pythonスクリプトでは、swanlab.initを使用してSwanLab実験を作成し、configパラメータにハイパーパラメータのキーと値のペアを含む辞書を渡します。
run是SwanLab的基本组成部分，你将经常使用它来记录与跟踪实验指标。,"Run is the fundamental component of SwanLab, and you will often use it to record and track experiment metrics.",実行はSwanLabの基本的な構成要素であり、実験メトリックを記録および追跡するためによく使用します。
,,
记录实验指标,Record experiment metrics,実験メトリックを記録する
在Python脚本中，用swanlab.log记录实验指标（比如准确率acc和损失值loss）。,"In the Python script, use swanlab.log to record experiment metrics (such as accuracy and loss value).",Pythonスクリプトでは、swanlab.logを使用して実験メトリック（精度accや損失値lossなど）を記録します。
用法是将一个包含指标的字典传递给swanlab.log：,The usage is to pass a dictionary containing the metrics to swanlab.log:,使い方は、メトリックを含む辞書をswanlab.logに渡すことです。
,,
完整代码，在线查看可视化看板,"Complete code, view the visualization dashboard online",完全なコード、オンラインで可視化ダッシュボードを表示する
我们将上面的步骤整合为下面所示的完整代码：,We integrate the above steps into the complete code shown below:,上記のステップを以下に示す完全なコードに統合します。
运行代码，访问SwanLab，查看在每个训练步骤中，你使用SwanLab记录的指标（准确率和损失值）的改进情况。,"Run the code, visit SwanLab, and see the improvement of the metrics (accuracy and loss value) you recorded using SwanLab in each training step.",コードを実行し、SwanLabにアクセスして、各トレーニングステップでSwanLabを使用して記録したメトリック（精度と損失値）の改善状況を確認します。
,,
下一步是什么,What's next,次はどうする
查看SwanLab如何记录多媒体内容（图片、音频、文本、...）,"See how SwanLab records multimedia content (images, audio, text,...)",SwanLabがどのようにマルチメディアコンテンツ（画像、音声、テキストなど）を記録するかを確認する
查看SwanLab记录MNIST手写体识别的案例,SwanLabがどのようにマルチメディアコンテンツ（画像、音声、テキストなど）を記録するかを確認する,SwanLabがMNIST手書き数字認識を記録するケースを見る
查看与其他框架的集成,See integration with other frameworks,他のフレームワークとの統合を見る
查看如何通过SwanLab与团队协作,See how to collaborate with your team through SwanLab,SwanLabを通じてチームとどのように協力するかを確認する
,,
常见问题,FAQ,よくある質問
在哪里可以找到我的API Key？,Where can I find my API Key?,APIキーはどこにありますか？
登陆SwanLab网站后，API Key将显示在用户设置页面上。,"After logging in to the SwanLab website, the API Key will be displayed on the user settings page.",SwanLabのWebサイトにログインすると、APIキーがユーザー設定ページに表示されます。
我可以离线使用SwanLab吗？,Can I use SwanLab offline?,SwanLabをオフラインで使用できますか？
可以，具体流程请查看自托管部分。,"Yes, please refer to the self-hosting section for the specific process.",はい、具体的な手順については、セルフホスティングのセクションを参照してください。
